,operator_id,direction,calls_count,call_duration,is_missed_call,time_waiting,mean_duration,mean_waiting,calls_count_out,calls_missed_time_waiting,eficiente
137,939738,out,634,29736,30,7336,46.90220820189275,11.570977917981072,efficient,efficient,True
138,906396,out,415,25015,30,2644,60.27710843373494,6.371084337349398,efficient,efficient,True
139,945282,out,2309,196296,29,43526,85.01342572542227,18.850584668687745,efficient,efficient,True
140,937736,out,1153,25030,29,27670,21.70858629661752,23.998265394622724,efficient,efficient,True
141,937808,out,811,26077,29,20283,32.15413070283601,25.009864364981503,efficient,efficient,True
142,917234,out,1174,65414,29,19970,55.71890971039182,17.01022146507666,efficient,efficient,True
143,937966,out,819,24313,29,16399,29.686202686202687,20.023199023199023,efficient,efficient,True
144,880022,out,189,14635,29,3666,77.43386243386243,19.396825396825395,efficient,efficient,True
145,913942,in,2467,206905,28,29573,83.86907174706121,11.987434130522903,efficient,efficient,True
146,937862,out,353,37683,28,8674,106.75070821529745,24.572237960339944,efficient,efficient,True
147,937810,out,274,7121,28,7067,25.98905109489051,25.791970802919707,efficient,efficient,True
148,912252,out,224,18112,28,3887,80.85714285714286,17.352678571428573,efficient,efficient,True
149,920852,out,277,20072,28,3754,72.46209386281589,13.552346570397113,efficient,efficient,True
150,937678,out,159,5118,28,3643,32.18867924528302,22.91194968553459,efficient,efficient,True
151,924940,out,193,15187,28,2971,78.68911917098445,15.393782383419689,efficient,efficient,True
152,906680,out,160,7646,28,2376,47.7875,14.85,efficient,efficient,True
153,902778,out,1300,84483,27,22231,64.98692307692308,17.10076923076923,efficient,efficient,True
154,904014,out,1249,56543,27,21298,45.27061649319455,17.052041633306644,efficient,efficient,True
155,939224,out,1341,15206,27,15516,11.339299030574198,11.570469798657719,efficient,efficient,True
156,937788,out,472,19154,27,9446,40.58050847457627,20.01271186440678,efficient,efficient,True
157,913942,out,440,12088,27,8625,27.472727272727273,19.602272727272727,efficient,efficient,True
158,937762,out,196,5925,27,6201,30.229591836734695,31.637755102040817,efficient,efficient,True
159,924930,out,224,19832,27,4427,88.53571428571429,19.763392857142858,efficient,efficient,True
160,901584,out,172,12016,27,2070,69.86046511627907,12.034883720930232,efficient,efficient,True
161,915360,out,271,19329,27,1883,71.32472324723247,6.948339483394834,efficient,efficient,True
162,902776,out,1581,71090,26,34207,44.9652118912081,21.63630613535737,efficient,efficient,True
163,941192,out,1139,34363,26,19752,30.169446883230904,17.341527655838455,efficient,efficient,True
164,947304,out,645,43819,26,7708,67.93643410852714,11.950387596899224,efficient,efficient,True
165,890422,out,402,50870,26,7464,126.54228855721394,18.567164179104477,efficient,efficient,True
166,944646,out,333,15698,26,5141,47.14114114114114,15.438438438438439,efficient,efficient,True
167,888534,out,315,13415,26,3182,42.58730158730159,10.101587301587301,efficient,efficient,True
168,935348,out,169,9801,26,2002,57.994082840236686,11.846153846153847,efficient,efficient,True
169,907178,out,174,6972,26,1943,40.06896551724138,11.166666666666666,efficient,efficient,True
170,888532,out,188,7672,26,1818,40.808510638297875,9.670212765957446,efficient,efficient,True
171,908958,out,107,5356,26,1069,50.05607476635514,9.990654205607477,efficient,efficient,True
172,940616,out,2393,53114,25,44419,22.195570413706644,18.562055996656916,efficient,efficient,True
173,945312,out,2146,219898,25,43059,102.46877912395153,20.064771668219944,efficient,efficient,True
174,952458,out,1556,44084,25,31228,28.331619537275063,20.069408740359897,efficient,efficient,True
175,930586,out,224,28907,25,4522,129.04910714285714,20.1875,efficient,efficient,True
176,937732,out,191,8450,25,2557,44.24083769633508,13.387434554973822,efficient,efficient,True
177,906296,out,197,7917,25,1696,40.18781725888325,8.609137055837563,efficient,efficient,True
178,916424,out,141,9736,25,1502,69.04964539007092,10.652482269503546,efficient,efficient,True
179,945324,out,2226,119761,24,55374,53.800988319856245,24.87601078167116,efficient,efficient,True
180,940658,out,1726,57560,24,27792,33.34878331402086,16.10196987253766,efficient,efficient,True
181,952468,out,1127,32273,24,20242,28.63620230700976,17.960958296362023,efficient,efficient,True
182,899932,out,711,91897,24,13297,129.25035161744023,18.70182841068917,efficient,efficient,True
183,937868,out,250,26265,24,5794,105.06,23.176,efficient,efficient,True
184,915358,out,253,8937,24,1791,35.32411067193676,7.07905138339921,efficient,efficient,True
185,907970,out,166,8517,24,759,51.30722891566265,4.572289156626506,efficient,efficient,True
186,945278,out,4001,216296,23,130486,54.06048487878031,32.61334666333417,efficient,efficient,True
187,947658,out,2668,40983,23,48814,15.360944527736132,18.296101949025488,efficient,efficient,True
188,919310,out,2077,63158,23,46645,30.408281174771304,22.457871930669235,efficient,efficient,True
